id,usuario_id,proveedor_id,nombre,localidad_id,latitud,longitud,direccion,imagen_cartel,medidas,fecha_actualizacion,altura,largo,metros_cuadrados,metros_cuadrados_precio
71,4,3,Ocupado,8,-26.488194,-58.311835,Me lo ocuparon – GILDO-CANDIDATOS NAC,carteles/solis_16.png,,,,,,
72,4,3,Gildo conduccion,8,-26.4773107,-58.3068788,Me lo ocuparon – FSA HERMOSA,carteles/solis_17.png,,,,,,
73,4,3,Gildo conduccion,9,-25.136853,-58.243328,RUTA Nº 86 Y 25 DE MAYO,carteles/solis_18.png,,,,,,
74,4,3,Gildo y cristina,9,-25.135697,-58.245626,FRENTE AL PREDIO – AV 25 DE MAYO Y ALFONSO,carteles/solis_20.png,,,,,,
75,4,3,Sin imagen,10,-25.062664,-58.378640,ENTRADA VIEJA A BUENA VISTA,carteles/solis_21.png,,,,,,
76,4,3,Obra en construccion,6,-25.366711,-58.280469,SOBRE RUTA Nº 2 – 2 CARTELES,carteles/solis_22.png,,,,,,
77,4,3,Gildo conduccion,6,-25.360995,-58.280004,Lo colocamos nosotros – RIACHO PRODUCE,carteles/solis_23.png,,,,,,
78,4,3,Gildo conduccion,11,-25.880892,-58.086285,Me lo ocuparon – FSA HERMOSA,carteles/solis_24.png,,,,,,
79,4,3,Uso responsable del agua,11,-25.880892,-58.086285,Me lo ocuparon – GILDO FSA CRECE,carteles/solis_25.png,,,,,,
80,4,3,Sin imagen,12,-24.967357,-58.545502,Hay que arreglar,carteles/solis_26.png,,,,,,
81,4,3,Gildo conduccion,13,-24.942744,-59.027697,Me lo ocuparon – GILDO-CANDIDATOS NAC,carteles/solis_27.png,,,,,,
82,4,3,Candidatos,14,-25.224656,-58.115700,Me lo ocuparon – GILDO-CANDIDATOS NAC,carteles/solis_28.png,,,,,,
